x_axis,y_axis
0.9302325581395354,68606242861.77782
1.268498942917548,33955418765.881966
1.606765327695561,18581933824.18738
1.945031712473573,9196791985.117044
2.410147991543342,4667570744.418525
3.086680761099367,2089296130.8540323
3.8900634249471473,935209889.9885981
4.566596194503172,486712754.5242487
5.243128964059198,273126372.28008413
5.919661733615223,169469250.6385314
6.596194503171248,107826938.0392049
7.272727272727274,66904379.22784166
8.28752642706131,37544424.75215842
9.386892177589852,20545999.477196246
10.486257928118395,12123733.007482078
11.839323467230445,6000422.324600879
13.192389006342497,3283701.2354841977
14.291754756871038,2037468.528039702
15.221987315010571,1507237.9420492102
16.23678646934461,1008408.1886145219
17.25158562367865,674669.2386752713
18.520084566596196,451383.2659768966
19.87315010570825,294503.804207175
21.141649048625798,197035.94200718906
22.32558139534884,135178.9568984441
23.509513742071885,99999.9999999998
25.031712473572945,66904.37922784165
26.257928118393238,49493.19092475671
27.441860465116285,35704.85491895582
29.090909090909097,25757.81922652323
29.978858350951377,21068.633267938523
